Train Epoch: 327 	Loss: 109698.617188 	Time: 18:58:17
Train Epoch: 328 	Loss: 125159.765625 	Time: 18:59:12
Train Epoch: 329 	Loss: 121473.562500 	Time: 19:00:07
Train Epoch: 330 	Loss: 93831.093750 	Time: 19:01:01
Train Epoch: 331 	Loss: 99784.265625 	Time: 19:01:56
Train Epoch: 332 	Loss: 94980.289062 	Time: 19:02:52
Train Epoch: 333 	Loss: 97534.562500 	Time: 19:03:46
Train Epoch: 334 	Loss: 104787.960938 	Time: 19:04:41
Train Epoch: 335 	Loss: 99419.046875 	Time: 19:05:36
Train Epoch: 336 	Loss: 98750.421875 	Time: 19:06:31
Train Epoch: 337 	Loss: 111012.343750 	Time: 19:07:25
Train Epoch: 338 	Loss: 100480.382812 	Time: 19:08:20
Train Epoch: 339 	Loss: 96990.593750 	Time: 19:09:14
Train Epoch: 340 	Loss: 90559.320312 	Time: 19:10:08
Train Epoch: 341 	Loss: 83842.687500 	Time: 19:11:03
Train Epoch: 342 	Loss: 95410.812500 	Time: 19:11:58
Train Epoch: 343 	Loss: 79060.960938 	Time: 19:12:54
Train Epoch: 344 	Loss: 87676.093750 	Time: 19:13:49
Train Epoch: 345 	Loss: 98121.117188 	Time: 19:14:43
Train Epoch: 346 	Loss: 73976.375000 	Time: 19:15:38
Train Epoch: 347 	Loss: 78345.062500 	Time: 19:16:33
Train Epoch: 348 	Loss: 88087.398438 	Time: 19:17:29
Train Epoch: 349 	Loss: 76476.625000 	Time: 19:18:26
Train Epoch: 350 	Loss: 81267.273438 	Time: 19:19:21
Train Epoch: 351 	Loss: 65000.828125 	Time: 19:20:16
Train Epoch: 352 	Loss: 66810.773438 	Time: 19:21:10
Train Epoch: 353 	Loss: 69794.367188 	Time: 19:22:04
Train Epoch: 354 	Loss: 69793.898438 	Time: 19:23:00
Train Epoch: 355 	Loss: 77398.054688 	Time: 19:23:56
Train Epoch: 356 	Loss: 71174.781250 	Time: 19:24:51
Train Epoch: 357 	Loss: 64710.023438 	Time: 19:25:45
Train Epoch: 358 	Loss: 71597.414062 	Time: 19:26:40
Train Epoch: 359 	Loss: 88107.585938 	Time: 19:27:37
Train Epoch: 360 	Loss: 77327.007812 	Time: 19:28:32
Train Epoch: 361 	Loss: 75120.750000 	Time: 19:29:27
Train Epoch: 362 	Loss: 83384.953125 	Time: 19:30:23
Train Epoch: 363 	Loss: 75087.187500 	Time: 19:31:18
Train Epoch: 364 	Loss: 74905.671875 	Time: 19:32:13
Train Epoch: 365 	Loss: 46122.316406 	Time: 19:33:09
Train Epoch: 366 	Loss: 53924.820312 	Time: 19:34:04
Train Epoch: 367 	Loss: 69322.242188 	Time: 19:34:59
Train Epoch: 368 	Loss: 63982.640625 	Time: 19:35:56
Train Epoch: 369 	Loss: 117363.039062 	Time: 19:36:51
Train Epoch: 370 	Loss: 130220.062500 	Time: 19:37:48
Train Epoch: 371 	Loss: 113240.703125 	Time: 19:38:44
Train Epoch: 372 	Loss: 128219.937500 	Time: 19:39:39
Train Epoch: 373 	Loss: 83215.609375 	Time: 19:40:35
Train Epoch: 374 	Loss: 112495.062500 	Time: 19:41:31
Train Epoch: 375 	Loss: 114564.585938 	Time: 19:42:25
Train Epoch: 376 	Loss: 94461.609375 	Time: 19:43:21
Train Epoch: 377 	Loss: 64338.472656 	Time: 19:44:16
Train Epoch: 378 	Loss: 57858.636719 	Time: 19:45:10
Train Epoch: 379 	Loss: 82504.781250 	Time: 19:46:05
Train Epoch: 380 	Loss: 72834.117188 	Time: 19:47:00
Train Epoch: 381 	Loss: 63678.406250 	Time: 19:47:55
Train Epoch: 382 	Loss: 66405.007812 	Time: 19:48:49
Train Epoch: 383 	Loss: 80653.671875 	Time: 19:49:44
Train Epoch: 384 	Loss: 67626.882812 	Time: 19:50:38
Train Epoch: 385 	Loss: 91732.242188 	Time: 19:51:33
Train Epoch: 386 	Loss: 107903.632812 	Time: 19:52:27
Train Epoch: 387 	Loss: 157157.375000 	Time: 19:53:23
Train Epoch: 388 	Loss: 260183.593750 	Time: 19:54:18
Train Epoch: 389 	Loss: 275975.156250 	Time: 19:55:12
Train Epoch: 390 	Loss: 306147.875000 	Time: 19:56:07
Train Epoch: 391 	Loss: 389946.656250 	Time: 19:57:01
Train Epoch: 392 	Loss: 320041.375000 	Time: 19:57:56
Train Epoch: 393 	Loss: 431508.281250 	Time: 19:58:51
Train Epoch: 394 	Loss: 426165.031250 	Time: 19:59:46
Train Epoch: 395 	Loss: 529858.937500 	Time: 20:00:42
Train Epoch: 396 	Loss: 550745.000000 	Time: 20:01:37
Train Epoch: 397 	Loss: 738249.500000 	Time: 20:02:32
Train Epoch: 398 	Loss: 828200.562500 	Time: 20:03:26
Train Epoch: 399 	Loss: 978229.812500 	Time: 20:04:21
Train Epoch: 400 	Loss: 743669.500000 	Time: 20:05:16
Train Epoch: 401 	Loss: 1133594.000000 	Time: 20:06:10
Train Epoch: 402 	Loss: 1093592.625000 	Time: 20:07:05
Train Epoch: 403 	Loss: 1175102.750000 	Time: 20:07:59
Train Epoch: 404 	Loss: 1462153.500000 	Time: 20:08:54
Train Epoch: 405 	Loss: 1331234.625000 	Time: 20:09:48
Train Epoch: 406 	Loss: 1376273.750000 	Time: 20:10:43
Train Epoch: 407 	Loss: 1188422.125000 	Time: 20:11:39
Train Epoch: 408 	Loss: 1522097.000000 	Time: 20:12:34
Train Epoch: 409 	Loss: 1270686.500000 	Time: 20:13:28
Train Epoch: 410 	Loss: 1249893.000000 	Time: 20:14:24
Train Epoch: 411 	Loss: 1084182.125000 	Time: 20:15:19
Train Epoch: 412 	Loss: 920076.125000 	Time: 20:16:14
Train Epoch: 413 	Loss: 573923.625000 	Time: 20:17:09
Train Epoch: 414 	Loss: 313470.687500 	Time: 20:18:04
